"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p01 post mean";"p01 post SD";"p01 HPDI 95 L";"p01 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wroclaw";3,557;0,671;2,394;5,095;14,983;1,016;13,041;16,956;0,889;0,059;0,755;0,976;0,799;0,122;0,521;0,973;5,449;1,767;2,98;9,7
"Miasto Szczecin";2,904;0,824;1,475;4,628;15;1,001;13,049;16,94;0,89;0,058;0,754;0,977;0,798;0,121;0,506;0,973;7,746;2,441;4,284;13,61
"Bialski";3,783;1,01;1,937;5,839;14,784;1,027;12,79;16,818;0,888;0,058;0,754;0,974;0,776;0,127;0,495;0,97;9,465;3,485;4,39;17,883
"Lomzynski";4;0,83;2,557;5,823;14,978;1,001;13,05;16,993;0,888;0,06;0,747;0,975;0,8;0,122;0,514;0,972;9,281;2,97;5,233;16,422
"Wroclawski";5,907;0,791;4,47;7,524;14,918;1,017;12,912;16,924;0,881;0,063;0,73;0,974;0,792;0,125;0,513;0,971;11,535;3,797;6,062;20,786
"Nowotarski";2,581;0,545;1,636;3,776;14,978;0,982;13,105;16,879;0,888;0,06;0,75;0,976;0,802;0,12;0,517;0,972;3,592;1,144;1,979;6,301
"Oswiecimski";1,946;0,618;0,867;3,285;14,966;1,008;13,03;16,968;0,889;0,06;0,746;0,975;0,8;0,122;0,51;0,973;4,129;1,307;2,309;7,302
"Zielonogórski";3,195;0,715;1,972;4,75;15,013;0,992;13,008;16,918;0,888;0,06;0,748;0,976;0,802;0,121;0,513;0,973;6,104;1,971;3,381;10,867
"Kaliski";3,878;0,666;2,701;5,281;14,999;0,987;13,044;16,934;0,89;0,06;0,747;0,975;0,798;0,123;0,52;0,973;5,851;1,865;3,25;10,522
"Poznanski";4,818;0,662;3,617;6,275;15,022;0,998;13,137;17,018;0,888;0,06;0,746;0,976;0,797;0,12;0,517;0,971;6,496;2,053;3,657;11,398
"Siedlecki";5,388;0,918;3,721;7,321;14,953;1,012;12,997;16,932;0,884;0,061;0,742;0,974;0,793;0,124;0,495;0,969;14,19;4,694;7,54;25,651
"Ostrolecki";3,797;0,708;2,541;5,366;15,003;0,98;13,089;16,915;0,888;0,059;0,748;0,976;0,802;0,118;0,53;0,973;6,404;2,01;3,601;11,372
"Bialostocki";2,633;0,609;1,606;3,959;14,987;1,001;13,074;16,915;0,888;0,058;0,748;0,975;0,798;0,122;0,518;0,973;4,213;1,358;2,32;7,64
"Miasto Kraków";3,754;0,732;2,471;5,322;15,01;1,012;13,02;16,967;0,889;0,059;0,75;0,976;0,799;0,12;0,513;0,972;6,985;2,172;3,989;12,399
"Olsztynski";1,095;0,372;0,444;1,922;14,989;0,995;13,048;16,965;0,89;0,058;0,757;0,975;0,803;0,12;0,522;0,972;1,593;0,503;0,879;2,83
"Elcki";3,302;0,81;1,922;4,993;14,975;0,989;13,031;16,979;0,889;0,06;0,746;0,976;0,796;0,122;0,512;0,969;7,645;2,502;4,215;13,783
"Trojmiejski";3,71;0,779;2,349;5,431;14,987;0,998;13,03;16,863;0,889;0,059;0,75;0,975;0,801;0,121;0,515;0,971;8,007;2,541;4,462;14,31
"Gdanski";5,237;0,732;3,952;6,811;14,959;1,023;12,968;16,941;0,89;0,058;0,754;0,975;0,796;0,121;0,508;0,97;8,961;2,893;4,937;16,329
"Slupski";4,004;0,815;2,583;5,741;14,969;1,024;13;16,947;0,889;0,061;0,745;0,975;0,802;0,12;0,528;0,973;8,722;2,862;4,789;15,458
"Opolski";3,704;1,21;1,751;6,447;14,9;0,956;13,012;16,784;0,857;0,069;0,696;0,963;0,747;0,131;0,444;0,952;10,507;5,009;4,767;23,455
"Bydgosko-Torunski";2,456;0,646;1,345;3,881;14,985;0,993;13,061;16,928;0,888;0,06;0,744;0,975;0,797;0,12;0,518;0,97;4,639;1,493;2,592;8,292
"Radomski";2,526;0,637;1,443;3,915;15,001;0,995;13,011;16,901;0,89;0,059;0,752;0,976;0,798;0,123;0,505;0,973;4,528;1,415;2,534;8,02
"Skierniewicki";3,654;0,847;2,145;5,453;14,976;1,004;12,952;16,884;0,889;0,06;0,748;0,976;0,797;0,12;0,52;0,97;8,912;2,831;4,987;15,618
"Kielecki";2,999;0,715;1,778;4,6;15,021;0,997;13,099;16,946;0,89;0,059;0,753;0,976;0,801;0,123;0,512;0,971;5,992;1,952;3,343;10,877
"Sandomiersko-jedrzejowski";2,551;0,77;1,227;4,2;15,01;0,995;13,072;16,977;0,891;0,058;0,752;0,975;0,799;0,119;0,525;0,971;6,189;1,943;3,443;10,807
"Nyski";2,874;0,877;1,256;4,725;14,929;1,031;12,818;16,875;0,884;0,061;0,743;0,973;0,796;0,122;0,514;0,971;7,659;2,542;3,81;13,721
"Pulawski";4,367;0,931;2,693;6,345;14,965;0,997;13,035;16,94;0,889;0,061;0,746;0,977;0,798;0,12;0,522;0,972;12,671;4,079;7,107;22,241
"Wloclawski";3,658;0,902;2,084;5,697;15,006;1,007;13,018;16,987;0,888;0,06;0,744;0,976;0,798;0,119;0,523;0,971;10,389;3,347;5,784;18,519
"Lódzki";3,752;0,683;2,55;5,18;15,002;0,983;13,093;16,95;0,89;0,06;0,749;0,976;0,797;0,124;0,515;0,972;5,973;1,902;3,348;10,78
"Chojnicki";3,005;0,644;1,865;4,385;14,998;1,007;13,023;16,955;0,89;0,059;0,749;0,976;0,799;0,121;0,519;0,971;4,905;1,532;2,741;8,648
"Starogardzki";4,027;0,891;2,425;5,875;14,972;1,01;12,887;16,932;0,886;0,061;0,742;0,972;0,797;0,122;0,52;0,971;9,915;3,197;5,343;17,683
"Miasto Lódz";2,457;0,599;1,447;3,82;15,022;1,002;13,055;16,967;0,889;0,061;0,743;0,977;0,803;0,12;0,518;0,973;4,09;1,301;2,283;7,397
"Leszczynski";2,422;0,376;1,765;3,248;15,008;1,001;13,007;16,951;0,888;0,06;0,748;0,976;0,8;0,123;0,514;0,973;1,774;0,56;0,972;3,126
"Jeleniogórski";3,425;0,881;1,855;5,374;14,992;1,007;13,048;16,99;0,889;0,059;0,752;0,976;0,796;0,122;0,508;0,973;9,504;3,052;5,257;16,865
"Legnicko-Glogowski";7,737;1,206;5,196;9,951;14,909;1,02;12,89;16,885;0,834;0,091;0,621;0,967;0,751;0,128;0,467;0,951;61,548;23,017;27,421;117,641
"Tarnobrzeski";2,452;0,536;1,548;3,705;15,007;1,006;13,046;16,934;0,889;0,058;0,749;0,975;0,798;0,122;0,502;0,969;3,236;1,046;1,797;5,822
"Koninski";2,654;0,597;1,611;3,982;14,992;0,999;13,057;16,959;0,888;0,059;0,748;0,974;0,801;0,12;0,52;0,972;4,132;1,291;2,375;7,304
"Szczecinecko-pyrzycki";1,306;0,534;0,395;2,504;15,011;0,993;13,058;16,927;0,889;0,06;0,75;0,975;0,803;0,12;0,523;0,972;2,962;0,952;1,633;5,352
"Tyski";5,339;1,085;3,238;7,489;14,89;1,009;12,948;16,886;0,883;0,064;0,729;0,975;0,776;0,129;0,48;0,965;17,879;6,358;8,349;32,767
"Sieradzki";3,747;0,883;2,207;5,646;14,97;0,989;12,989;16,908;0,888;0,059;0,747;0,976;0,799;0,122;0,512;0,972;9,742;3,083;5,36;17,074
"Rzeszowski";4,499;0,746;3,183;6,116;14,941;1,017;12,955;16,934;0,886;0,062;0,744;0,975;0,801;0,118;0,519;0,973;7,306;2,445;3,935;13,239
"Szczecinski";3,414;0,765;2,062;5,032;15,023;1,015;13,054;17,054;0,888;0,059;0,751;0,976;0,799;0,121;0,507;0,97;7,042;2,299;3,847;12,579
"Bytomski";2,964;0,749;1,639;4,621;15,004;0,98;13,018;16,904;0,889;0,059;0,754;0,976;0,803;0,12;0,523;0,972;6,631;2,125;3,696;11,753
"Gliwicki";3,303;0,675;2,148;4,734;15,001;1,024;12,945;17,036;0,89;0,058;0,757;0,975;0,801;0,123;0,51;0,974;5,771;1,832;3,195;10,188
"Katowicki";3,363;0,84;1,877;5,187;14,984;1,007;13,015;16,956;0,889;0,06;0,75;0,976;0,796;0,124;0,503;0,971;8,434;2,723;4,615;15,127
"Koszalinski";3,302;0,772;1,991;5,029;14,995;1,006;13,033;16,922;0,889;0,06;0,749;0,974;0,802;0,118;0,532;0,971;7,055;2,331;3,839;12,923
"Suwalski";3,704;0,825;2,263;5,494;15,022;1,005;13,099;16,985;0,888;0,059;0,747;0,974;0,8;0,122;0,527;0,974;8,91;2,798;4,957;15,822
"Lubelski";3,272;0,673;2,083;4,803;14,979;0,998;12,99;16,936;0,89;0,059;0,75;0,976;0,8;0,121;0,517;0,972;5,416;1,728;3,004;9,787
"Walbrzyski";1,727;0,543;0,827;2,908;15,001;0,992;13,065;16,923;0,889;0,059;0,753;0,975;0,799;0,123;0,514;0,973;3,198;0,988;1,776;5,511
"Miasto Warszawa";3,383;0,672;2,175;4,841;14,985;1,052;12,759;17,025;0,887;0,061;0,743;0,975;0,8;0,121;0,515;0,972;5,375;1,731;2,831;9,375
"Tarnowski";3,407;0,757;2,046;5,034;15,012;1,015;13,021;17,053;0,889;0,06;0,748;0,977;0,801;0,122;0,509;0,971;6,945;2,238;3,909;12,629
"Piotrkowski";3,06;0,59;2,038;4,341;15,008;1,016;13,031;16,997;0,89;0,06;0,746;0,976;0,799;0,123;0,514;0,973;4,163;1,321;2,299;7,327
"Warszawski wschodni";4,797;0,98;3,018;6,768;14,876;1,031;12,861;16,955;0,878;0,065;0,728;0,973;0,778;0,13;0,48;0,966;11,138;4,197;4,912;21,064
"Pilski";2,7;0,68;1,529;4,176;15,021;0,987;13,102;16,989;0,889;0,06;0,747;0,976;0,801;0,119;0,522;0,971;5,221;1,661;2,893;9,289
"Nowosadecki";3,999;0,765;2,69;5,643;14,999;1,025;13,007;17,024;0,888;0,06;0,752;0,975;0,8;0,12;0,514;0,975;7,917;2,558;4,38;14,276
"Elblaski";1,594;0,436;0,84;2,564;14,988;1,006;12,988;16,913;0,889;0,059;0,748;0,975;0,802;0,119;0,524;0,972;2,177;0,692;1,193;3,811
"Sosnowiecki";5,416;1,103;3,238;7,592;14,978;1,02;13,028;16,98;0,88;0,065;0,72;0,972;0,788;0,127;0,497;0,971;20,849;7,064;10,22;37,678
"Krosnienski";1,585;0,563;0,63;2,843;15,012;1;13,069;16,944;0,889;0,059;0,748;0,975;0,8;0,121;0,518;0,972;3,382;1,065;1,878;5,966
"Krakowski";5,151;1,064;3,318;7,382;14,977;0,952;13,062;16,82;0,867;0,068;0,709;0,967;0,71;0,137;0,406;0,935;9,926;4,639;4,097;22,296
"Czestochowski";3,633;1,006;1,809;5,653;14,765;1,042;12,705;16,882;0,887;0,06;0,744;0,974;0,775;0,127;0,487;0,963;8,917;3,395;4,015;17,118
"Grudziadzki";2,306;0,524;1,42;3,481;15,005;1,004;13,039;16,982;0,888;0,06;0,747;0,974;0,799;0,121;0,512;0,972;3,13;1,006;1,747;5,672
"Chelmsko-zamojski";2,462;0,786;1,099;4,198;15,001;0,988;13,064;16,921;0,889;0,059;0,749;0,975;0,801;0,121;0,517;0,973;6,55;2,088;3,603;11,54
"Bielski";2,155;0,482;1,287;3,213;15,003;1,012;12,991;16,966;0,89;0,059;0,755;0,974;0,8;0,119;0,522;0,975;2,796;0,866;1,562;4,918
"Rybnicki";6,774;1,157;4,278;8,943;14,919;1,016;12,914;16,847;0,869;0,073;0,694;0,972;0,766;0,134;0,457;0,967;32,439;11,562;14,461;58,707
"Miasto Poznan";2,103;0,692;0,918;3,583;15,001;1,007;13,06;16,941;0,888;0,061;0,743;0,976;0,799;0,12;0,523;0,971;4,781;1,542;2,669;8,545
"Warszawski zachodni";5,56;0,793;4,082;7,229;14,916;1,01;12,942;16,94;0,888;0,06;0,746;0,976;0,793;0,123;0,5;0,968;11,253;3,531;6,182;19,811
"Inowroclawski";1,909;0,575;0,943;3,235;15,018;1,007;13,048;16,993;0,889;0,059;0,75;0,974;0,799;0,12;0,519;0,97;3,582;1,186;1,956;6,545
"Swiecki";5,482;1,075;3,501;7,649;14,864;1,006;12,901;16,831;0,866;0,069;0,704;0,968;0,799;0,121;0,511;0,973;16,859;6,41;8,291;32,425
"Gorzowski";2,172;0,622;1,121;3,566;14,994;0,995;13,004;16,9;0,89;0,06;0,749;0,976;0,8;0,122;0,51;0,971;4,097;1,319;2,214;7,279
"Przemyski";1,91;0,69;0,74;3,449;15,029;0,989;13,099;16,92;0,888;0,059;0,752;0,974;0,801;0,121;0,516;0,973;4,768;1,538;2,639;8,509
"Zyrardowski";4,653;0,904;2,99;6,569;14,956;1,018;12,932;16,942;0,887;0,061;0,743;0,975;0,793;0,122;0,51;0,972;12,232;4,056;6,612;21,794
"Ciechanowski";4,697;0,972;2,93;6,772;14,988;0,989;13,013;16,831;0,886;0,061;0,735;0,975;0,796;0,122;0,512;0,969;14,284;4,599;7,817;25,52
"Plocki";8,326;1,051;6,29;10,385;14,89;1,039;12,767;16,909;0,833;0,092;0,608;0,965;0,747;0,134;0,442;0,957;70,416;24,503;36,421;131,014
